1. 广东 | 深圳100越野赛 (TOR X) | 12月26日 | 165KM/102KM/60KM/37KM/11KM | 10193M+/7213M+/4297M+/2568M+/806M+ | 详见官网 | 详见官网 | 9月30日-11月22日 | 详见官网 | 详见官网 | 朗途 | 山地越野 | B
43. 广东 | 杜鹃花海·阳春鸡笼顶越野赛 (黄金联赛中国系列赛) | 4月26日 | 详见官网 | 详见官网 | 详见官网 | 详见官网 | 12月27日-详见官网 | 详见官网 | 详见官网 | 希必思 | 山地越野 | B
44. 吉林 | 通化万峰跑山赛 | 5月10日 | 35KM/20KM/7KM | 1526M+/1008M+/540M+ | 详见官网 | 详见官网 | 详见官网 | 详见官网 | 详见官网 | 自游人 | 山地越野 | B
45. 澳大利亚 | Ultra-Trail Australia by UTMB (MAJOR) | 5月14日 | 162KM/101KM/51KM/22KM/12KM/1KM | 7290M+/4400M+/2400M+/1200M+/731M+/25M+ | 详见官网 | UTMB 100K/100K/50K/20K/10K/10K | 详见官网 | 详见官网 | 详见官网 | 详见官网 | 山地越野 | B
46. 湖北 | 五峰青神山神农架山径赛 (黄金联赛中国系列赛) | 5月16日 | 80KM/51KM/27KM | 5591M+/4243M+/2186M+ | ITRA 5分/4分/2分 | 详见官网 | 12月19日-额满 | 详见官网 | 详见官网 | 荒野拾档 | 山地越野 | B
47. 山东 | 威海100超级越野赛 | 5月16日 | 97KM/56KM/35KM(夜)/35KM(日) | 4110M+/2901M+/1517M+/1517M+ | 详见官网 | 详见官网 | 12月4日-额满 | 7000 | 详见官网 | 落基 | 海岸越野 | B
48. 江西 | 武功山越野赛 | 5月17日 | 详见官网 | 详见官网 | 详见官网 | 详见官网 | 详见官网 | 详见官网 | 详见官网 | 锡奥 | 高山越野 | B
49. 辽宁 | 巴图鲁关门山壹佰越野赛 | 5月22日 | 101KM/66KM/33KM/30KM/8KM/5KM | 5479M+/3335M+/2191M+/1443M+/521M+/365M+ | 详见官网 | 详见官网 | 12月10日-12月10日 | 详见官网 | 详见官网 | 维天 | 山地越野 | B
50. 辽宁 | 大连100越野赛 | 5月22日 | 100KM/75KM/50KM/31KM | 5507M+/3980M+/2877M+/1484M+ | 详见官网 | 详见官网 | 12月6日-额满 | 详见官网 | 详见官网 | 雷越野 | 海岸越野 | B
51. 四川 | 九寨沟环神仙池超级越野赛 | 5月30日 | 100KM/50KM/35KM/12KM | 详见官网 | 详见官网 | 详见官网 | 详见官网 | 详见官网 | 详见官网 | 耐吉 | 高山越野 | B
52. 四川 | 四姑娘山云间花径越野跑 (黄金联赛中国系列赛总决赛) | 5月30日 | 详见官网 | 详见官网 | 详见官网 | 详见官网 | 1月6日-详见官网 | 详见官网 | 详见官网 | 锋行 | 高山越野 | B
53. 新疆 | 布尔津喀纳斯超级越野赛 (多日赛) | 6月11日 | 详见官网 | 详见官网 | 详见官网 | 详见官网 | 详见官网 | 详见官网 | 详见官网 | 落基 | 高山越野 | B
54. 河北 | 太舞崇礼之巅越野赛 | 6月14日 | 详见官网 | 详见官网 | 详见官网 | 详见官网 | 详见官网 | 详见官网 | 详见官网 | 锡奥 | 山地越野 | B
55. 甘肃 | 乌鞘岭长城越野赛 | 6月20日 | 详见官网 | 详见官网 | 详见官网 | 详见官网 | 详见官网 | 详见官网 | 详见官网 | 山与山 | 古道越野 | B
56. 法国 | Mont-Blanc Marathon | 6月26日 | 详见官网 | 详见官网 | 详见官网 | 详见官网 | 详见官网 | 详见官网 | 详见官网 | 详见官网 | 高山越野 | B
57. 美国 | The Western States 100-Mile Endurance Run | 6月27日 | 详见官网 | 详见官网 | 详见官网 | 详见官网 | 11月1日-11月21日 | 详见官网 | 详见官网 | 详见官网 | 山地越野 | B
58. 西班牙 | Val d'Aran by UTMB (MAJOR) | 7月1日 | 163KM/110KM/75KM/55KM/32KM/18KM | 10000M+/6400M+/5100M+/3300M+/2100M+/900M+ | 详见官网 | UTMB 100K/100K/50K/50K/20K/10K | 详见官网 | 详见官网 | 详见官网 | 详见官网 | 高山越野 | B
59. 美国 | Hardrock 100 | 7月10日 | 详见官网 | 详见官网 | 详见官网 | 详见官网 | 详见官网 | 详见官网 | 详见官网 | 详见官网 | 高山越野 | B
60. 法国 | UTMB MONT-BLANC (FINALS) | 8月24日 | 300KM/174KM/148KM/101KM/57KM/40KM/15KM | 25000M+/9900M+/9300M+/6050M+/3500M+/2350M+/1200M+ | 详见官网 | UTMB 100K/100K/100K/100K/50K/20K/10K | 详见官网 | 详见官网 | 详见官网 | 详见官网 | 高山越野 | B
61. 河北 | 大境门古长城越野赛 (by UTMB) | 9月11日 | 104KM/55KM/33KM/11KM | 4000M+/2200M+/1400M+/400M+ | 详见官网 | UTMB 100K/50K/20K/10K | 详见官网 | 详见官网 | 详见官网 | 隆景 | 古道越野 | B
62. 河北 | 崇礼100越野赛 | 9月12日 | 详见官网 | 详见官网 | 详见官网 | 详见官网 | 详见官网 | 详见官网 | 详见官网 | 锡奥 | 山地越野 | B
63. 美国 | Kodiak Ultra Marathons by UTMB (MAJOR) | 10月8日 | 详见官网 | 详见官网 | 详见官网 | 详见官网 | 详见官网 | 详见官网 | 详见官网 | 详见官网 | 山地越野 | B
64. 山西 | 云丘山越野赛 (by UTMB) | 10月16日 | 详见官网 | 详见官网 | 详见官网 | 详见官网 | 详见官网 | 详见官网 | 详见官网 | 隆景 | 山地越野 | B
65. 四川 | 大蜀道100越野赛 (by UTMB) | 11月6日 | 详见官网 | 详见官网 | 详见官网 | 详见官网 | 详见官网 | 详见官网 | 详见官网 | 隆景 | 古道越野 | B
66. 福建 | 大武夷超级山径赛 暨亚太越野跑锦标赛 | 11月26日 | 100KM/80KM/60KM/40KM/35KM/20KM/10KM | 详见官网 | 详见官网 | 详见官网 | 详见官网 | 详见官网 | 详见官网 | 睿行致远 | 山地越野 | B
67. 重庆 | 重庆越野跑挑战赛 (预计) | 12月6日 | 60KM/30KM/15KM | 详见官网 | 详见官网 | 详见官网 | 详见官网 | 详见官网 | 详见官网 | 千君万马 | 山地越野 | B
